0
0
1,0,0,0,0,0,352
0,1,0,0,0,0,1299
0,0,1,0,0,0,403
0,0,0,1,0,0,4466
0,0,0,0,1,0,650
0,0,0,0,0,1,632
1,1,0,0,0,0,0
1,0,1,0,0,0,1
1,0,0,1,0,0,18
1,0,0,0,1,0,3
1,0,0,0,0,1,16
0,1,1,0,0,0,1
0,1,0,1,0,0,44
0,1,0,0,1,0,0
0,1,0,0,0,1,4
0,0,1,1,0,0,59
0,0,1,0,1,0,2
0,0,1,0,0,1,57
0,0,0,1,1,0,82
0,0,0,1,0,1,152
0,0,0,0,1,1,2
1,1,1,0,0,0,0
1,1,0,1,0,0,0
1,1,0,0,1,0,0
1,1,0,0,0,1,0
1,0,1,1,0,0,4
1,0,1,0,1,0,0
1,0,1,0,0,1,0
1,0,0,1,1,0,0
1,0,0,1,0,1,4
1,0,0,0,1,1,0
0,1,1,1,0,0,0
0,1,1,0,1,0,0
0,1,1,0,0,1,0
0,1,0,1,1,0,0
0,1,0,1,0,1,0
0,1,0,0,1,1,0
0,0,1,1,1,0,2
0,0,1,1,0,1,7
0,0,1,0,1,1,0
0,0,0,1,1,1,1
1,1,1,1,0,0,0
1,1,1,0,1,0,0
1,1,1,0,0,1,0
1,1,0,1,1,0,0
1,1,0,1,0,1,0
1,1,0,0,1,1,0
1,0,1,1,1,0,0
1,0,1,1,0,1,0
1,0,1,0,1,1,0
1,0,0,1,1,1,0
0,1,1,1,1,0,0
0,1,1,1,0,1,0
0,1,1,0,1,1,0
0,1,0,1,1,1,0
0,0,1,1,1,1,0
1,1,1,1,1,0,0
1,1,1,1,0,1,0
1,1,1,0,1,1,0
1,1,0,1,1,1,0
1,0,1,1,1,1,0
0,1,1,1,1,1,0
1,1,1,1,1,1,0

