0
0
1,0,0,0,0,0,54
0,1,0,0,0,0,463
0,0,1,0,0,0,907
0,0,0,1,0,0,695
0,0,0,0,1,0,316
0,0,0,0,0,1,57
1,1,0,0,0,0,15
1,0,1,0,0,0,19
1,0,0,1,0,0,3
1,0,0,0,1,0,0
1,0,0,0,0,1,0
0,1,1,0,0,0,56
0,1,0,1,0,0,19
0,1,0,0,1,0,1
0,1,0,0,0,1,3
0,0,1,1,0,0,69
0,0,1,0,1,0,10
0,0,1,0,0,1,31
0,0,0,1,1,0,8
0,0,0,1,0,1,6
0,0,0,0,1,1,1
1,1,1,0,0,0,1
1,1,0,1,0,0,1
1,1,0,0,1,0,0
1,1,0,0,0,1,0
1,0,1,1,0,0,0
1,0,1,0,1,0,0
1,0,1,0,0,1,0
1,0,0,1,1,0,0
1,0,0,1,0,1,0
1,0,0,0,1,1,0
0,1,1,1,0,0,4
0,1,1,0,1,0,0
0,1,1,0,0,1,3
0,1,0,1,1,0,0
0,1,0,1,0,1,0
0,1,0,0,1,1,0
0,0,1,1,1,0,0
0,0,1,1,0,1,1
0,0,1,0,1,1,0
0,0,0,1,1,1,0
1,1,1,1,0,0,1
1,1,1,0,1,0,0
1,1,1,0,0,1,0
1,1,0,1,1,0,0
1,1,0,1,0,1,0
1,1,0,0,1,1,0
1,0,1,1,1,0,0
1,0,1,1,0,1,0
1,0,1,0,1,1,0
1,0,0,1,1,1,0
0,1,1,1,1,0,0
0,1,1,1,0,1,0
0,1,1,0,1,1,0
0,1,0,1,1,1,0
0,0,1,1,1,1,0
1,1,1,1,1,0,0
1,1,1,1,0,1,0
1,1,1,0,1,1,0
1,1,0,1,1,1,0
1,0,1,1,1,1,0
0,1,1,1,1,1,0
1,1,1,1,1,1,0
